 SCHEDULE =>[FLOOR:00 BEGIN:000 END:001]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:063 END:064]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:064 END:065]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:065 END:066]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:066 END:067]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:067 END:068]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:068 END:069]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:069 END:070]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:070 END:071]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:071 END:072]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:072 END:073]	    Elevator_01 --> EMPTY
 SCHEDULE =>[FLOOR:00 BEGIN:073 END:074]	    Elevator_01 --> EMPTY

