  REQUEST =>[FLOOR:00 TIME:000]	Task=Tasks.CarCall_07_8, Direction=   Direction.UP, Target Floor=07
 SCHEDULE =>[FLOOR:15 BEGIN:042 END:043]	    Elevator_00 --> Task= Tasks.CarCall_15_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:15 BEGIN:043 END:044]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:15 BEGIN:044 END:045]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:15 BEGIN:045 END:046]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:15 BEGIN:046 END:047]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:15 BEGIN:047 END:048]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:14 BEGIN:048 END:049]	    Elevator_00 --> Task=Tasks.CarCall_07_0::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:13 BEGIN:049 END:050]	    Elevator_00 --> Task=Tasks.CarCall_07_0::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:12 BEGIN:050 END:051]	    Elevator_00 --> Task=Tasks.CarCall_07_0::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:11 BEGIN:051 END:052]	    Elevator_00 --> Task=Tasks.CarCall_07_0::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:10 BEGIN:052 END:053]	    Elevator_00 --> Task=Tasks.CarCall_07_0::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:09 BEGIN:053 END:054]	    Elevator_00 --> Task=Tasks.CarCall_07_0::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:08 BEGIN:054 END:055]	    Elevator_00 --> Task=Tasks.CarCall_07_0::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:07 BEGIN:055 END:056]	    Elevator_00 --> Task=Tasks.CarCall_07_0::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:07 BEGIN:056 END:057]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:057 END:058]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:058 END:059]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:059 END:060]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:060 END:061]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:061 END:062]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:062 END:063]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:063 END:064]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:064 END:065]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:065 END:066]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:066 END:067]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:067 END:068]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:07 BEGIN:068 END:069]	    Elevator_00 --> EMPTY

